hanzi,sentence,en,th
新鲜,这些水果很新鲜。,These fruits are very fresh.,ผลไม้เหล่านี้สดมาก
信,我给妈妈写信。,I wrote a letter to my mom.,ฉันเขียนจดหมายถึงแม่
信用卡,我用信用卡付钱。,I pay with a credit card.,ฉันจ่ายเงินด้วยบัตรเครดิต
行李,我的行李很重。,My luggage is heavy.,กระเป๋าเดินทางของฉันหนักมาก
行李箱,我的行李箱很重。,My suitcase is very heavy.,กระเป๋าเดินทางของฉันหนักมาก
兴趣,我对音乐有兴趣。,I'm interested in music.,ฉันสนใจดนตรี
兴趣爱好,他的兴趣爱好是画画。,His hobby is drawing.,งานอดิเรกของเขาคือวาดรูป
熊猫,熊猫喜欢吃竹子。,Pandas like to eat bamboo.,แพนด้าชอบกินไผ่
需,这件事需要时间。,This matter requires time.,เรื่องนี้ต้องใช้เวลา
需要,我需要一杯水。,I need a glass of water.,ฉันต้องการน้ำสักแก้ว
许,妈妈不许我看电视。,Mom doesn't allow me to watch TV.,แม่ไม่อนุญาตให้ฉันดูโทรทัศน์
选择,你可以自己选择。,You can choose by yourself.,คุณสามารถเลือกเองได้
学画,她喜欢学画。,She likes learning to paint.,เธอชอบเรียนวาดรูป
学习成绩,他的学习成绩很好。,His academic performance is very good.,ผลการเรียนของเขาดีมาก
牙,他每天刷牙。,He brushes his teeth every day.,เขาแปรงฟันทุกวัน
牙疼,我牙疼得很厉害。,My tooth hurts a lot.,ฉันปวดฟันมากๆ
眼镜,我找不到眼镜了。,I can't find my glasses.,ฉันหาแว่นตาไม่เจอแล้ว
眼里,在他眼里你很好。,"In his eyes, you're great.",ในสายตาของเขาคุณดีมาก
眼中,在妈妈眼中我最好。,"In mom's eyes, I'm the best.",ในสายตาแม่ ฉันดีที่สุด
羊,山上有很多羊。,There are many sheep on the mountain.,บนภูเขามีแกะเยอะมาก
羊城,羊城是广州的别名。,Yangcheng is a nickname for Guangzhou.,เมืองแพะเป็นชื่อเรียกอีกชื่อของกว่างโจว
阳,今天太阳很大。,The sun is very strong today.,วันนี้แดดแรงมาก
要求,老师要求我们认真学习。,The teacher requires us to study hard.,ครูขอให้เราตั้งใจเรียน
爷爷,爷爷喜欢喝茶。,Grandpa likes to drink tea.,คุณปู่ชอบดื่มชา
爷爷奶奶,爷爷奶奶身体很好。,Grandpa and grandma are in good health.,คุณปู่คุณย่าสุขภาพแข็งแรงดี
一把,她拿着一把伞。,She is holding an umbrella.,เธอถือร่มอยู่คันหนึ่ง
一般,他的成绩一般。,His grades are average.,ผลการเรียนของเขาธรรมดาๆ
一步,请你往前走一步。,Please take a step forward.,กรุณาก้าวไปข้างหน้าหนึ่งก้าว
一次,我去过一次北京。,I have been to Beijing once.,ฉันเคยไปปักกิ่งมาครั้งหนึ่ง
一点,我懂一点汉语。,I know a little Chinese.,ฉันรู้ภาษาจีนอยู่บ้างเล็กน้อย
一定,你一定要来。,You must come.,คุณต้องมาให้ได้นะ
一段时间,我们分开一段时间了。,We have been apart for a while.,เราแยกกันมาระยะหนึ่งแล้ว
一分钱,我没有一分钱。,I don't have a single cent.,ฉันไม่มีเงินสักแดงเดียว
一分钟,请等一分钟。,Please wait one minute.,กรุณารอสักหนึ่งนาที
一个碗,桌上有一个碗。,There is a bowl on the table.,บนโต๊ะมีชามอยู่ใบหนึ่ง
一共,这些东西一共多少钱？,How much do these things cost in total?,ของพวกนี้รวมทั้งหมดราคาเท่าไหร่
一会儿,请等我一会儿。,Please wait for me a moment.,กรุณารอฉันสักครู่
一家,我们一家去公园玩。,Our whole family went to the park.,ครอบครัวเราไปเที่ยวสวนสาธารณะกัน
一间,我们住一间房。,We are staying in one room.,เราพักห้องเดียวกัน
一件,我买了一件新衣服。,I bought a new piece of clothing.,ฉันซื้อเสื้อผ้าตัวใหม่มาหนึ่งตัว
一句,他说了一句话。,He said a sentence.,เขาพูดประโยคหนึ่ง
一口,他一口答应了。,He readily agreed.,เขาตอบตกลงทันที
一块儿,我们一块儿去吧。,Let's go together.,เราไปด้วยกันเถอะ
