hanzi,sentence,en
较大,这个房间较大。,This room is comparatively large.
过于,你过于紧张了。,You're too nervous.
进一步,我们需要进一步讨论。,We need to discuss this further.
连忙,他连忙道歉。,He promptly apologized.
重量级,他是重量级的选手。,He is a heavyweight contender.
集体,我们要有集体意识。,We should have a sense of collective awareness.
雾天,雾天开车要小心。,You need to drive carefully on a foggy day.
需求,市场需求越来越大。,Market demand keeps growing.
领带,他今天没戴领带。,He didn't wear a necktie today.
齐,队伍站得很齐。,"The line stood in neat, even rows."
一点点,我只吃了一点点。,I only ate a little bit.
七月,七月的天气很热。,The weather in July is very hot.
伸出,他伸出手打招呼。,He extended his hand to say hello.
兵书,他常读古代兵书。,He often reads ancient books on the art of war.
凳子,请坐这个凳子。,Please sit on this stool.
出海,渔民明天出海打鱼。,The fishermen will go out to sea to fish tomorrow.
刺破,钉子刺破了轮胎。,A nail punctured the tire.
吝啬,他对钱很吝啬。,He is very stingy with money.
哈尔滨人,他是地道的哈尔滨人。,He is a true native of Harbin.
地域,中国地域辽阔。,China's territory is vast.
地面,地面很湿滑。,The ground is wet and slippery.
大将,他是军队的大将。,He is a general in the army.
大师,他是武术大师。,He is a martial arts master.
太太,王太太在厨房做饭。,Mrs. Wang is cooking in the kitchen.
安全帽,工人都戴着安全帽。,The workers are all wearing safety helmets.
寿命,这种植物寿命很长。,This kind of plant has a long lifespan.
小女孩,那个小女孩在唱歌。,That little girl is singing.
尽力而为,我一定会尽力而为。,I will definitely do my best.
层次,这篇文章层次很清楚。,This essay's structure is very clear.
屋,屋里很安静。,It is very quiet inside the room.
展品,博物馆的展品很多。,The museum has many exhibits.
开花,樱花树开花了。,The cherry tree has bloomed.
强度,这次运动强度很大。,The intensity of this workout is very high.
悲观者,他是个悲观者。,He is a pessimist.
房屋,这里的房屋很旧。,The houses here are very old.
手指,他的手指很长。,His fingers are long.
打碎,他不小心打碎了杯子。,He accidentally broke the cup.
摄影家,他是有名的摄影家。,He is a famous photographer.
教材,这本书是英语教材。,This book is an English textbook.
数据恢复,他需要专业的数据恢复。,He needs professional data recovery.
曲调,这首歌的曲调很优美。,This song's melody is beautiful.
武士,他扮演一位武士。,He played the role of a warrior.
民族融合,这是民族融合的结果。,This is the result of ethnic integration.
水温,请检查一下水温。,Please check the water temperature.
求职者,很多求职者来面试。,Many job applicants came for interviews.
液体,这种液体是无色的。,This liquid is colorless.
渴望,他渴望成功。,He longs for success.
湖,湖水非常清澈。,The lake water is very clear.
潜能,每个人都有潜能。,Everyone has potential.
烧,火烧了整片森林。,The fire burned the whole forest.
猩猩,动物园里有猩猩。,There are orangutans in the zoo.
理念,这是公司的经营理念。,This is the company's business philosophy.
电子秤,他用电子秤称重。,He used an electronic scale to weigh things.
男主人,男主人热情地招待客人。,The male host warmly welcomed the guests.
画龙点睛,这句话真是画龙点睛。,This sentence is truly the finishing touch.
登上,他终于登上山顶。,He finally reached the summit.
碎块,地上都是玻璃碎块。,There are glass fragments all over the ground.
社会学,她大学学的是社会学。,She studied sociology in college.
离婚率,这个城市离婚率很高。,This city's divorce rate is very high.
种植,农民种植了很多水稻。,The farmers planted a lot of rice.
第三位,他排在第三位。,He is ranked in third place.
第二组,我们分在第二组。,We were assigned to the second group.
综合征,医生诊断出一种综合征。,The doctor diagnosed a syndrome.
耳光,他打了他一耳光。,He slapped him in the face.
肉类,他不喜欢吃肉类。,He doesn't like eating meat.
背景,这张照片背景很美。,This photo's background is beautiful.
背着,他背着书包上学。,He goes to school carrying his backpack.
艰难,这段时间很艰难。,This period has been very difficult.
菌,空气中有很多菌。,There are a lot of germs in the air.
装进去,快把行李装进去！,Hurry and put the luggage inside!
解梦,她请人帮她解梦。,She asked someone to interpret her dream.
讲课,老师正在教室讲课。,The teacher is giving a lecture in the classroom.
货币,人民币是中国的货币。,The renminbi is China's currency.
辞退,公司辞退了他。,The company dismissed him.
遗忘,往事渐渐被遗忘。,The past was gradually forgotten.
铁树,院子里种着一棵铁树。,There is a sago palm planted in the yard.
长凳,公园里有一条长凳。,There is a bench in the park.
闲置,这台机器长期闲置。,This machine has been idle for a long time.
项目,这个项目很重要。,This project is very important.
饭菜,妈妈做的饭菜很香。,The food mom made smells delicious.
馍,他吃了一个馍。,He ate a piece of steamed bread.
驾驶者,驾驶者必须系安全带。,Drivers must wear seatbelts.
骂,妈妈骂了他一顿。,Mom scolded him.
所,这所大学很有名。,This university is very famous.
海,他喜欢在海里游泳。,He likes swimming in the sea.
或,你要茶或咖啡？,Would you like tea or coffee?
由,这件事由他负责。,This matter is handled by him.
第,这是第一名。,This is the first place.
具有,这种药具有疗效。,This medicine has a therapeutic effect.
点心,妈妈做了点心。,Mom made some pastries.
产生,这件事产生了误会。,This matter gave rise to a misunderstanding.
瓷,这个瓷碗很漂亮。,This porcelain bowl is very pretty.
冰,河面上结了冰。,The river surface froze into ice.
因,他因病请假了。,He took leave because of illness.
存在,这个问题依然存在。,This problem still exists.
窗,请把窗关上。,Please close the window.
里程,这辆车里程很高。,This car has high mileage.
花盘,向日葵花盘很大。,The sunflower's flower head is very large.
金鱼,我养了一条金鱼。,I keep a goldfish.
面食,北方人爱吃面食。,Northerners love eating wheat-based foods.
国,这是一个大国。,This is a great nation.
公,这是公用电话。,This is a public telephone.
章鱼,章鱼有八条腿。,An octopus has eight legs.
航空,他从事航空工作。,He works in aviation.
相,他们相爱多年。,They have loved each other for years.
肌肉,他的肌肉很结实。,His muscles are very firm.
口述,老人口述了往事。,The old man recounted the past orally.
动画,这是一部动画电影。,This is an animated movie.
坐姿,请保持正确坐姿。,Please maintain correct sitting posture.
一见钟情,他们一见钟情。,They fell in love at first sight.
梨园,他出身梨园世家。,He comes from a family in the world of Chinese opera.
结果,考试结果很理想。,The exam result was very good.
及,会议讨论工作及计划。,The meeting discussed work and plans.
既,她既漂亮又聪明。,She is both pretty and smart.
哭泣,她伤心地哭泣。,She wept sadly.
看病,他去医院看病。,He went to the hospital to see a doctor.
积分,买东西可以攒积分。,You can accumulate points when shopping.
似,他待我似家人。,He treats me like family.
大气,大气污染很严重。,Atmospheric pollution is very serious.
木,这张桌子是木头做的。,This table is made of wood.
类,这是哪一类问题？,What kind of problem is this?
拍摄,他们在公园拍摄电影。,They are filming a movie in the park.
极,这个西瓜甜极了。,This watermelon is extremely sweet.
财务,她负责公司财务。,She is in charge of the company's finances.
厨师,我爸爸是一名厨师。,My dad is a chef.
志愿者,他是一名志愿者。,He is a volunteer.
理财,她很会理财。,She is good at managing money.
眼泪,她感动得流下眼泪。,She was so moved that she shed tears.
农业,这个地区以农业为主。,This region relies mainly on agriculture.
向日葵,向日葵朝着太阳。,Sunflowers face the sun.
葵花,农民种了很多葵花。,The farmers planted many sunflowers.
廊桥,这座廊桥非常古老。,This covered bridge is very old.
母猴,这是一只母猴。,This is a female monkey.
触手,章鱼有八条触手。,An octopus has eight tentacles.
调节,请调节空调温度。,Please adjust the air conditioner's temperature.
力,他用尽了全力。,He used all his strength.
最早,他最早到达公司。,He arrived at the company earliest.
氧气,植物能产生氧气。,Plants can produce oxygen.
神,古人相信神的存在。,Ancient people believed in the existence of gods.
保,妈妈保孩子平安。,Mom keeps the child safe.
合,他慢慢合上了双眼。,He slowly closed his eyes.
匹,一匹马跑得很快。,A horse runs very fast.
极昼,极地地区会出现极昼。,Polar regions can experience polar day.
自我,他很有自我意识。,He has strong self-awareness.
对于,对于这件事我理解。,Regarding this matter I understand.
建筑,这座建筑很漂亮。,This building is very beautiful.
色彩,这幅画色彩鲜艳。,This painting has vivid colors.
制,学校实行学分制。,The school implements a credit system.
园林,这座园林非常美丽。,This garden is very beautiful.
婴儿,婴儿正在熟睡。,The baby is sleeping soundly.
第三个,他是第三个到的。,He was the third one to arrive.
生长素,生长素能促进生长。,Auxin can promote growth.
商家,这家商家服务很好。,This merchant provides good service.
移动,汽车正在移动。,The car is moving.
虾,我喜欢吃虾。,I like eating shrimp.
自身,要相信自身能力。,One should believe in one's own ability.
