hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
的,de,of; ~'s,คำแสดงความเป็นเจ้าของ (ของ),3433,1,ของ (แสดงความเป็นเจ้าของ),
了,le,completed action marker,คำบอกเหตุการณ์เสร็จสิ้น/เกิดขึ้นแล้ว,978,1,แล้ว (บอกว่าเกิดขึ้น/เสร็จแล้ว),
是,shì,to be; correct,"เป็น, คือ, ใช่",837,1,คือ; ใช่,Jordan calibration: copula leads with คือ
很,hěn,very; quite,มาก,570,1,มาก,
在,zài,to be at; (progressive marker),อยู่ที่; กำลัง (ทำอยู่),534,1,อยู่ที่; กำลัง (ทำอยู่),
有,yǒu,to have; there is,มี,450,1,มี,
人,rén,person; people,คน,422,1,คน,
我,wǒ,I; me,"ฉัน, ผม",391,1,"ฉัน, ผม",
他,tā,he; him,เขา (ผู้ชาย),367,1,เขา (ผู้ชาย),
你,nǐ,you,"คุณ, เธอ",310,1,"คุณ, เธอ",
要,yào,to want; must,ต้องการ; จะ; ต้อง,310,2,อยาก; ต้อง,matches EN want;must — dropped 要's future sense (จะ) not in EN gloss
不,bù,no; not so,ไม่,302,1,ไม่,
和,hé,and; with,และ; กับ,298,1,และ; กับ,
会,huì,can; to have the skill,ทำเป็น/ได้; จะ,274,1,ทำเป็น; ได้,
都,dōu,all; both,"ทั้งหมด, ล้วน",258,1,"ทั้งหมด, ล้วน",
就,jiù,then; right away; only,ก็; ทันที; เพียง,248,2,ก็; เพียง,3 EN senses (then/right away/only) trimmed to 2; ก็ covers then/soon
我们,wǒ men,we; us,พวกเรา,246,1,พวกเรา,
中,zhōng,middle; center,"กลาง, ใน; จีน",237,2,กลาง,EN gloss narrow; 中 also very common = ใน (in/within) — omitted to match EN
去,qù,to go; to go to,ไป,224,1,ไป,
上,shàng,on; above; to get on,"บน, ขึ้น; ก่อนหน้า",219,1,บน; ขึ้น,dropped 'previous' sense (ก่อนหน้า) not in EN gloss
能,néng,can; to be able to,สามารถ,214,1,สามารถ,
对,duì,right; correct,"ถูกต้อง; ต่อ, แก่",210,2,ถูกต้อง; ใช่,EN = right/correct; ใช่ = spoken 'that's right'; dropped preposition sense ต่อ/แก่
得,dé,to obtain; to get,"ได้, ได้รับ",210,2,"ได้, ได้รับ",
多,duō,many; much,"มาก, เยอะ",208,1,"มาก, เยอะ",
它,tā,it,มัน,199,2,มัน,
也,yě,also; too,"ก็, เช่นกัน",198,2,"ก็, เช่นกัน",
好,hǎo,good; appropriate,ดี,198,1,ดี,
地,dì,earth; ground,"ดิน, พื้นดิน",197,3,"ดิน, พื้นดิน",
时,shí,time; when,"เวลา, เมื่อ",169,2,เวลา; เมื่อ,
她,tā,she,เธอ (ผู้หญิง),168,1,เธอ (ผู้หญิง),
自己,zì jǐ,oneself; one's own,ตัวเอง,162,3,ตัวเอง,
没,méi,not; haven’t,ไม่ (ไม่มี/ยังไม่),158,1,ไม่มี; ยังไม่,
人们,rén men,people,ผู้คน,157,2,ผู้คน,
什么,shén me,what?; something,อะไร,155,1,อะไร,
这,zhè,this; these,"นี่, นี้",151,1,"นี่, นี้",
到,dào,to reach; to arrive,ถึง; ไปยัง,150,2,ถึง,
说,shuō,to speak; to talk,"พูด, บอก",144,1,"พูด, บอก",
更,gèng,even more; further,"ยิ่ง, ยิ่งขึ้น, มากกว่า",138,3,"ยิ่งขึ้น, ยิ่ง",trimmed 3 near-synonyms to 2 (dropped มากกว่า)
没有,méi yǒu,haven't; hasn't,ไม่มี; ยังไม่,138,1,ไม่มี; ยังไม่,
想,xiǎng,to want to; to think,อยาก; คิด; คิดถึง,134,1,อยาก; คิด,EN gloss fixed at product source (want-sense added) per Jordan; Thai follows
被,bèi,(passive marker); quilt,คำแสดงถูกกระทำ (ถูก); ผ้าห่ม,133,3,ถูก (คำแสดงการถูกกระทำ); ผ้าห่ม,
可以,kě yǐ,can; may,"ได้, สามารถ; อนุญาต",129,2,"ได้, สามารถ",can;may collapse to one Thai sense (ได้/สามารถ); dropped verb อนุญาต
太,tài,too; extremely,"เกินไป, ...เกิน",129,1,เกินไป; มากเกิน,
与,yǔ,formal and; together with,และ; กับ,126,4,และ; กับ,
来,lái,to come,มา,126,1,มา,
一,yī,one; single,หนึ่ง,125,1,หนึ่ง,
喜欢,xǐ huān,to like; to be fond of,ชอบ,122,1,ชอบ,
使,shǐ,to make; to cause,"ทำให้, ก่อให้เกิด",118,3,"ทำให้, ก่อให้เกิด",
把,bǎ,to hold; to grasp,คำชี้กรรม (วางหน้ากรรม); ถือ,116,3,คำนำหน้ากรรม; ถือ,
做,zuò,to make; to produce,ทำ,115,1,ทำ,
让,ràng,to let; to allow,"ให้, ปล่อยให้, ทำให้",115,2,ให้; ปล่อยให้,
别人,bié rén,other people; others,คนอื่น,112,3,คนอื่น,
时间,shí jiān,concept of time; duration of time,เวลา,112,2,เวลา,
过,guò,to pass; (experience marker),คำบอกประสบการณ์ (เคย); ผ่าน,105,2,คำบอกประสบการณ์ (เคย); ผ่าน,
大,dà,big; large,ใหญ่,102,1,ใหญ่,
最,zuì,most,ที่สุด,101,2,ที่สุด,
他们,tā men,they; them,พวกเขา,100,1,พวกเขา,
吗,ma,(question particle),คำถามใช่/ไม่ (ไหม),96,1,ไหม (คำลงท้ายคำถาม),
看,kàn,to look; to watch,"ดู, มอง, อ่าน",95,1,ดู; มอง,
后,hòu,after; behind,"หลัง, ข้างหลัง",94,1,หลัง; ข้างหลัง,
为,wèi,for; because of,เพื่อ; เป็น (ในฐานะ),91,2,เพื่อ; เพราะ,"EN ""for; because of"" is wei; current เป็น(ในฐานะ) fits the wei-as-""act as"" reading"
还,hái,still; also,ยัง; อีก,90,2,ยัง; อีก,
着,zhe,continuous-aspect particle,คำบอกอาการต่อเนื่อง (อยู่),89,2,อยู่ (คำบอกอาการต่อเนื่อง),
变,biàn,to change; to become different,"เปลี่ยน, กลายเป็น",88,3,เปลี่ยน; กลายเป็น,
个,gè,(general classifier),ลักษณนามทั่วไป (อัน/คน),86,1,ลักษณนามทั่วไป (อัน/คน),
又,yòu,once again; also,อีก; ทั้ง...,86,3,อีก; อีกทั้ง,"the ""also"" sense (又...又 = both...and) is hard to gloss concisely"
但,dàn,but; yet,แต่,83,2,แต่,
可,kě,can; but,ได้; แต่,83,4,ได้; แต่,
等,děng,to wait; etc.,รอ; ฯลฯ,83,2,รอ; ฯลฯ,
给,gěi,to give; for,"ให้; แก่, เพื่อ",83,2,ให้; แก่,
中国,zhōng guó,China,ประเทศจีน,82,1,ประเทศจีน,
现在,xiàn zài,now; at present,"ตอนนี้, ปัจจุบัน",82,1,"ตอนนี้, ปัจจุบัน",
里,lǐ,inside; in,"ข้างใน, ใน",82,1,"ข้างใน, ใน",
从,cóng,from,จาก,81,2,จาก,
工作,gōng zuò,to work; of a machine to operate,"งาน, ทำงาน",81,1,ทำงาน; งาน,
高,gāo,tall; high,สูง,79,2,สูง,
今天,jīn tiān,today; the present time,วันนี้,78,1,วันนี้,
就是,jiù shì,exactly; precisely,"ก็คือ, นั่นแหละ",77,3,"ก็คือ, นั่นแหละ",
那,nà,that; those,"นั่น, นั้น",77,1,"นั่น, นั้น",
吧,ba,(suggestion particle),คำชวน/คำลงท้ายอ่อนลง (เถอะ),76,1,เถอะ (คำชวน/เสนอแนะ),
文,wén,language; culture,ภาษา; ตัวอักษร; วัฒนธรรม,76,3,ภาษา; วัฒนธรรม,
用,yòng,to use,ใช้,76,3,ใช้,
所以,suǒ yǐ,therefore; as a result,"ดังนั้น, เพราะฉะนั้น",75,2,"ดังนั้น, เพราะฉะนั้น",
主要,zhǔ yào,main; principal,"หลัก, สำคัญ",73,3,"หลัก, สำคัญ",
小,xiǎo,small; tiny,เล็ก,73,1,เล็ก,
孩子,hái zi,child,"เด็ก, ลูก",72,2,เด็ก; ลูก,
历史,lì shǐ,history,ประวัติศาสตร์,70,3,ประวัติศาสตร์,
并,bìng,and; furthermore,อีกทั้ง; (เน้นปฏิเสธ) ...เลย,69,4,อีกทั้ง; และ,"EN gloss is only ""and; furthermore""; dropped the emphatic-negation (并不) sense"
应该,yīng gāi,ought to; should,"ควรจะ, ควร",69,3,"ควรจะ, ควร",
以,yǐ,with; in order to,ใช้; ด้วย; เพื่อ,68,4,ด้วย; เพื่อ,
之,zhī,literary possessive particle,คำแสดงความเป็นเจ้าของแบบภาษาเขียน,66,4,ของ (ภาษาเขียน),"literary possessive; led with ของ + register tag, but the descriptive gloss may be clearer for a learner"
不要,bú yào,don't!; must not,"อย่า, ไม่เอา",64,3,อย่า; ไม่เอา,
将,jiāng,will; shall,จะ; (คำชี้กรรมในภาษาเขียน),64,4,จะ (ในภาษาเขียน),"EN only ""will; shall""; dropped the literary object-marker sense"
出现,chū xiàn,to appear; to arise,"ปรากฏ, เกิดขึ้น",63,3,ปรากฏ; เกิดขึ้น,
所,suǒ,place; (measure word for buildings); (nominalizing particle),สถานที่; (คำเสริมในภาษาเขียน),63,4,สถานที่; (คำนำหน้ากริยาในภาษาเขียน),
才,cái,only then; talent,เพิ่งจะ; ถึงจะ,63,3,ถึงจะ; พรสวรรค์,"added พรสวรรค์ for the ""talent"" noun sense the EN gloss lists"
生活,shēng huó,to live; life,ชีวิต; ใช้ชีวิต,63,4,ชีวิต; ใช้ชีวิต,
根据,gēn jù,according to; based on,"ตาม, อ้างอิงจาก",62,3,"ตาม, อ้างอิงจาก",
觉得,jué de,to think that ...; to feel that ...,"รู้สึก, คิดว่า",62,2,รู้สึก; คิดว่า,
需要,xū yào,to need; to want,"ต้องการ, จำเป็น",61,3,ต้องการ; จำเป็น,
人类,rén lèi,humanity; human race,"มนุษยชาติ, มนุษย์",60,5,มนุษยชาติ; มนุษย์,
