hanzi,english_current,english_fixed,verdict,reason
意思,idea; opinion,"meaning; idea, intention",fix,add dominant sense 'meaning'
比较,to compare; to contrast,"to compare, to contrast; relatively, quite",fix,add adverbial sense 'quite/relatively'
种,kind; type,"kind, type; seed; to plant, to sow",fix,add omitted seed / to-plant senses
学会,to learn; to master,"to learn, to master; academic society, association",fix,add omitted noun sense 'society/association'
幽默,loanword humor; humorous,humor; humorous,fix,strip meta tag 'loanword'
变化,intransitive to change; to vary,"to change, to vary; change, variation",fix,strip meta tag 'intransitive'
运动,to move; to exercise,"to exercise, to move; sports, athletics; movement, campaign",fix,add omitted 'sports' and 'movement/campaign' senses
还是,still; had better,still; or (in a question),fix,add common 'or' choice-question sense; trimmed to two
活动,to exercise; to move about,"activity, event; to move about, to exercise",fix,add dominant noun sense 'activity/event'
分,to divide; to separate,"to divide, to separate; minute, point, fraction",fix,add noun senses (minute/point/fraction); trimmed to two
开,to open; to turn on,to open; to turn on; to drive,fix,add common 'drive' sense
该,should; ought to,"should, ought to; the aforementioned, this",fix,add omitted demonstrative sense 'the said/this'
作为,one's conduct; deed,"as, in the capacity of; conduct, deed",fix,add dominant 'as / in the capacity of' sense
表现,to show; to show off,"to show, to display; performance, behavior",fix,add omitted noun sense 'performance/behavior'
加油,to add oil; to top up with gas,"come on!, go for it!; to cheer on; to refuel",fix,add dominant idiomatic 'go!/cheer on' sense
友谊,companionship; fellowship,friendship,fix,'companionship; fellowship' too loose; word means friendship
手,hand; formal to hold,hand,fix,drop spurious 'formal to hold'
讨厌,to dislike; to loathe,"to dislike, to loathe; annoying, disgusting",fix,add adjectival sense 'annoying/disgusting'
轻松,light; gentle,"relaxed, easygoing; effortless",fix,'light; gentle' wrong; real sense is relaxed/effortless
不过,only; merely,"but, however; only, merely",fix,add primary sense 'but; however'
块,lump; chunk,"piece, lump, chunk; (classifier for pieces); yuan (colloquial)",fix,add classifier and money senses
原来,original; former,"originally, formerly; as it turns out (realization)",fix,add common realization sense 'it turns out'
受,to receive; to accept,"to receive, to accept; to endure, to bear",fix,add omitted 'endure/suffer' sense
一边,one side; either side,"one side; while, at the same time (一边…一边)",fix,add omitted simultaneity sense
交通,to be connected; traffic,"traffic; transportation, communications",fix,'to be connected' rare/archaic; primary is traffic/transport
反映,to mirror; to reflect,"to reflect, to mirror; to report, to make known",fix,add omitted 'report/make known' sense
放,to put; to place,"to put, to place; to release, to let go",fix,add common 'release/let go' sense; trimmed to two
位,position; location,"(polite classifier for people); position, place",fix,add primary sense: polite classifier for people
巧克力,loanword chocolate,chocolate,fix,strip meta tag 'loanword'
表示,of someone to express; to state,"to express, to indicate; to show",fix,malformed 'of someone to express'; sense = to express/indicate
心灵,bright; smart,"soul, spirit; heart, inner world",fix,'bright; smart' wrong; word means soul/inner-heart
信,letter; mail,"letter, mail; to believe, to trust; faith",fix,add omitted verb sense 'to believe/trust'
度,to pass; to spend,"degree, extent; to spend, to pass (time)",fix,add omitted noun sense 'degree/extent'
外面,outside (; surface,"outside; exterior, surface",fix,fix malformed 'outside (; surface'
香,fragrant; sweet smelling,"fragrant, sweet-smelling; delicious, appetizing; incense",fix,add omitted 'delicious' and 'incense' senses
兴趣,interest; interest,interest,fix,remove duplicated sense
千万,ten million; countless,"ten million; countless; by all means, be sure to",fix,add omitted emphatic-adverb sense
天生,nature; disposition,"inborn, innate; natural, by nature",fix,'nature; disposition' wrong; word means inborn/innate
心中,central point; in one's thoughts,"in one's heart, in one's mind",fix,'central point' is 中心; 心中 = in one's heart/mind
根本,fundamental; basic,"fundamental, basic; root, foundation; (not) at all (根本不)",fix,add omitted noun and adverbial (not-at-all) senses
符合,in accordance with; physics coincidence,"to conform to, to accord with; to match",fix,'physics coincidence' nonsensical; word = to conform to
到底,finally; in the end,"in the end, after all; on earth, actually (in questions)",fix,add omitted interrogative-emphatic sense
卫星,aerospace satellite; astronomy satellite,satellite,fix,'aerospace satellite; astronomy satellite' redundant; word = satellite
总,general; overall,"general, overall, chief; always, invariably",fix,add omitted adverbial sense 'always'
恐怕,fear; to dread,"I'm afraid that, probably; perhaps",fix,"adverbial 'I'm afraid/probably', not verb 'to dread'"
名,name; noun,"name; fame, reputation; (classifier for people)",fix,'noun' corrupt; word = name / fame / classifier for people
妹妹,younger sister; young woman,younger sister,fix,drop colloquial extension 'young woman'
机构,mechanism; structure,"organization, institution, agency; mechanism",fix,add dominant sense 'organization/institution/agency'
灵敏,smart; clever,"sensitive, responsive; agile",fix,'smart; clever' wrong; word means sensitive/agile
阿姨,maternal aunt; step-mother,"auntie, aunt; nanny, domestic helper",fix,'step-mother' wrong; word = auntie / nanny-helper
人家,household; dwelling,"other people, someone else; household, family",fix,add dominant 'other people' sense
分别,to part; to leave each other,"to part, to separate; separately, respectively; to distinguish",fix,add 'separately/respectively' and 'to distinguish' senses
打发,to send away; to dismiss,"to send away, to dismiss; to pass, to while away (time)",fix,add common '打发时间 = pass/kill time' sense
故,happening; instance,"reason, cause; deliberately, on purpose; former, old",fix,'happening; instance' wrong; senses = reason / deliberately / former
教训,to provide guidance; a talking-to,"to teach a lesson, to reprimand; a lesson (learned)",fix,restore negative connotation (scold / harsh lesson)
过敏,medicine allergic; hypersensitive,allergic; hypersensitive,fix,strip meta tag 'medicine'
加以,formal to apply; literary moreover,"to apply, to carry out (an action upon something)",fix,"formal dummy-verb marker, not 'moreover'"
包裹,to wrap up; to bind up,"parcel, package; to wrap up, to bind up",fix,add dominant noun sense 'parcel/package'
启发,to enlighten; to explain,"to inspire, to enlighten; to stimulate (thought)",fix,drop wrong sense 'to explain'
启示,to reveal; to enlighten,"to enlighten, to inspire; revelation, insight",fix,'to reveal' imprecise; add revelation/insight
尾巴,tail; colloquial pr.,tail,fix,strip dictionary artifact 'colloquial pr.'
答应,to answer; to respond,"to agree, to consent, to promise; to answer, to respond",fix,add primary sense 'to agree/consent/promise'
领导,lead; leading,"leader, leadership; to lead, to guide",fix,add dominant noun sense 'leader/leadership'
俱乐部,loanword club,club,fix,strip meta tag 'loanword'
原始,first; original,"primitive, original; raw, primary",fix,'first' misleading; word = primitive/original/raw
携带,to carry; to support,"to carry, to bring along",fix,drop spurious sense 'to support'
一代,an era; an age,a generation,fix,'an era; an age' wrong; word = a generation
不止,incessantly; without end,"more than, not only; incessantly, without end",fix,add common 'more than / not only' sense
