hanzi,sentence,en,th
阿姨,阿姨在做饭。,Auntie is cooking.,ป้ากำลังทำอาหาร
啊,这里真漂亮啊！,This place is so beautiful!,ที่นี่สวยจริงๆ เลย!
矮,他比哥哥矮一点。,He is a bit shorter than his older brother.,เขาเตี้ยกว่าพี่ชายนิดหน่อย
爱吃鱼,我家的猫爱吃鱼。,My cat loves eating fish.,แมวที่บ้านฉันชอบกินปลา
爱好,我的爱好是画画。,My hobby is painting.,งานอดิเรกของฉันคือวาดรูป
爱看,我爱看电视。,I love watching TV.,ฉันชอบดูทีวี
安静,图书馆里很安静。,The library is very quiet.,ในห้องสมุดเงียบมาก
八点半,现在是八点半。,It's half past eight now.,ตอนนี้แปดโมงครึ่งแล้ว
八五,这次考试他考了八五分。,He scored 85 points on this exam.,การสอบครั้งนี้เขาได้ 85 คะแนน
八一,八一那天学校放假。,School is closed on August first.,วันที่ 1 สิงหาคมโรงเรียนหยุด
八月,八月的天气很热。,The weather in August is very hot.,อากาศเดือนสิงหาคมร้อนมาก
爸,我爸是老师。,My dad is a teacher.,พ่อของฉันเป็นครู
爸妈,我爸妈都很忙。,My dad and mom are both busy.,พ่อแม่ของฉันยุ่งมากทั้งคู่
白衬衫,他穿着白衬衫。,He is wearing a white shirt.,เขาใส่เสื้อเชิ้ตสีขาว
白天,白天他在上班。,During the day he is at work.,ตอนกลางวันเขาไปทำงาน
白云,天上有白云。,There are white clouds in the sky.,บนฟ้ามีเมฆสีขาว
班,我们班有三十个学生。,Our class has thirty students.,ห้องเรียนของเรามีนักเรียนสามสิบคน
班上,班上有三十个学生。,There are thirty students in the class.,ในห้องเรียนมีนักเรียนสามสิบคน
搬,我们下个月搬家。,We're moving house next month.,เดือนหน้าเราจะย้ายบ้าน
搬家,我们下个月搬家。,We are moving house next month.,เดือนหน้าเราจะย้ายบ้าน
办,这件事我来办。,I'll take care of this.,เรื่องนี้ฉันจะจัดการเอง
办法,这个办法很好。,This method is very good.,วิธีนี้ดีมาก
办公楼,他在办公楼工作。,He works in the office building.,เขาทำงานที่ตึกสำนักงาน
办公室,他在办公室工作。,He works in the office.,เขาทำงานที่สำนักงาน
半,现在是三点半。,It's three thirty now.,ตอนนี้สามโมงครึ่งแล้ว
半个,我吃了半个苹果。,I ate half an apple.,ฉันกินแอปเปิลไปครึ่งลูก
半路,我们半路遇见了他。,We ran into him halfway there.,เราเจอเขาระหว่างทาง
半年,我学汉语半年了。,I have studied Chinese for half a year.,ฉันเรียนภาษาจีนมาครึ่งปีแล้ว
半天,我等了他半天。,I waited for him for a long time.,ฉันรอเขาอยู่นานมาก
帮忙,你能帮忙吗？,Can you help?,คุณช่วยได้ไหม?
包,这个包很好看。,This bag is very nice.,กระเป๋าใบนี้สวยมาก
饱,我今天吃得很饱。,I'm very full today.,วันนี้ฉันกินอิ่มมาก
北,学校在城市的北边。,The school is on the north side of the city.,โรงเรียนอยู่ทางเหนือของเมือง
北方,他来自中国北方。,He is from northern China.,เขามาจากภาคเหนือของจีน
北京西站,火车到北京西站了。,The train has arrived at Beijing West Station.,รถไฟถึงสถานีปักกิ่งตะวันตกแล้ว
北门,我们在北门见面。,Let's meet at the north gate.,เราจะเจอกันที่ประตูเหนือ
被,我的手机被他拿走了。,My phone was taken by him.,โทรศัพท์ของฉันถูกเขาเอาไป
本词典,本词典很有用。,This dictionary is very useful.,พจนานุกรมเล่มนี้มีประโยชน์มาก
本书,这本书很有意思。,This book is very interesting.,หนังสือเล่มนี้น่าสนใจมาก
鼻子,他的鼻子很大。,His nose is very big.,จมูกของเขาใหญ่มาก
比较简单,这个问题比较简单。,This question is relatively simple.,คำถามนี้ค่อนข้างง่าย
比赛,今天有足球比赛。,There's a football match today.,วันนี้มีการแข่งฟุตบอล
笔画,这个字笔画很多。,This character has many strokes.,ตัวอักษรนี้มีขีดเยอะมาก
笔记本,我买了一个笔记本。,I bought a notebook.,ฉันซื้อสมุดมาหนึ่งเล่ม
笔记本电脑,他有一台笔记本电脑。,He has a laptop computer.,เขามีโน้ตบุ๊กหนึ่งเครื่อง
必须,你必须马上回家。,You must go home right away.,คุณต้องกลับบ้านทันที
边,他坐在我旁边。,He is sitting next to me.,เขานั่งอยู่ข้างๆ ฉัน
边上,他坐在我边上。,He sits beside me.,เขานั่งอยู่ข้างๆ ฉัน
变,天气变冷了。,The weather has turned cold.,อากาศเริ่มเย็นลงแล้ว
变成,水变成了冰。,The water turned into ice.,น้ำกลายเป็นน้ำแข็ง
变化,这个城市变化很大。,This city has changed a lot.,เมืองนี้เปลี่ยนแปลงไปมาก
变化很大,这个城市变化很大。,This city has changed a lot.,เมืองนี้เปลี่ยนแปลงไปมาก
表示,他表示同意我的想法。,He expressed agreement with my idea.,เขาแสดงความเห็นด้วยกับความคิดของฉัน
表演,孩子们的表演很好看。,The children's performance was great to watch.,การแสดงของเด็กๆ สนุกมาก
别的,你还想要别的东西吗？,Do you want anything else?,คุณอยากได้อย่างอื่นอีกไหม?
别难过,别难过会好的。,"Don't be sad, it'll be okay.",อย่าเสียใจไปเลย เดี๋ยวก็ดีขึ้นเอง
别人,别人都在等你。,Everyone else is waiting for you.,คนอื่นๆ กำลังรอคุณอยู่
冰箱,冰箱里有很多水果。,There is a lot of fruit in the refrigerator.,ในตู้เย็นมีผลไม้เยอะมาก
不吃,我今天不吃早饭。,I'm not eating breakfast today.,วันนี้ฉันไม่กินข้าวเช้า
不但,他不但聪明而且努力。,He is not only smart but also hardworking.,เขาไม่เพียงฉลาดแต่ยังขยันอีกด้วย
