hanzi,english_current,note
意思,idea; opinion,EN-GLOSS-BUG: 'idea; opinion' misses the primary sense 'meaning'; rendered real sense meaning; idea
比较,to compare; to contrast,EN-GLOSS-BUG: EN 'to compare; to contrast' omits the common adverbial sense 'quite/relatively' (already led in TH as ค่อนข้าง)
种,kind; type,EN-GLOSS-BUG: 'kind; type' omits the seed (zhǒng) / to-plant (zhòng) senses
学会,to learn; to master,EN-GLOSS-BUG: English omits this sense
幽默,loanword humor; humorous,EN-GLOSS-BUG: gloss contains meta text 'loanword'
变化,intransitive to change; to vary,EN-GLOSS-BUG: gloss contains meta text 'intransitive'
运动,to move; to exercise,EN-GLOSS-BUG: English omits this sense
还是,still; had better,EN-GLOSS-BUG: 'still; had better' omits the very common 'or' (choice-question) sense; trimmed to two
活动,to exercise; to move about,EN-GLOSS-BUG: EN gives only verb senses; omits the dominant noun 'activity/event' (led in TH as กิจกรรม)
分,to divide; to separate,EN-GLOSS-BUG: 'to divide; to separate' omits common noun senses (minute; point/score; cent); trimmed to two
开,to open; to turn on,"open/turn-on both = เปิด, merged; kept common 'drive' sense; EN-GLOSS-BUG: English omits this sense"
该,should; ought to,EN-GLOSS-BUG: English omits this sense
作为,one's conduct; deed,EN-GLOSS-BUG: 'one's conduct; deed' omits the dominant 'as / in the capacity of' sense
表现,to show; to show off,EN-GLOSS-BUG: English omits this sense
加油,to add oil; to top up with gas,EN-GLOSS-BUG: gloss is only the literal 'add oil/top up gas'; 加油 is far more commonly the idiomatic 'go!/cheer on' — Thai keeps สู้ๆ for that sense
友谊,companionship; fellowship,EN-GLOSS-BUG: 'companionship; fellowship' is loose — 友谊 = friendship (มิตรภาพ)
手,hand; formal to hold,EN-GLOSS-BUG: second sense 'formal to hold' is spurious; 手 = hand
讨厌,to dislike; to loathe,EN-GLOSS-BUG: verb-only gloss misses common adjectival sense 'annoying/disgusting'; Thai leads น่ารำคาญ
轻松,light; gentle,EN-GLOSS-BUG: 'light; gentle' misses real sense 'relaxed/easygoing/effortless'; kept correct Thai
不过,only; merely,EN-GLOSS-BUG: 'only; merely' misses primary sense 'but; however'; Thai keeps แต่
块,lump; chunk,EN-GLOSS-BUG: English omits this sense
原来,original; former,EN-GLOSS-BUG: 'original; former' misses common realization sense 'it turns out'; added ที่แท้
受,to receive; to accept,EN-GLOSS-BUG: English omits this sense
一边,one side; either side,EN-GLOSS-BUG: English omits this sense
交通,to be connected; traffic,EN-GLOSS-BUG: lead 'to be connected' is rare/archaic; primary sense is traffic/transport. Thai kept.
反映,to mirror; to reflect,EN-GLOSS-BUG: English omits this sense
放,to put; to place,EN-GLOSS-BUG: 'to put; place' omits very common sense 'to release/let go'(ปล่อย); added as 2nd. Trimmed 3->2.
位,position; location,EN-GLOSS-BUG: EN omits 位's primary use = classifier for people (polite); Thai keeps it as lead.
巧克力,loanword chocolate,EN-GLOSS-BUG: 'loanword chocolate' — 'loanword' is a meta tag; sense is just 'chocolate'.
表示,of someone to express; to state,EN-GLOSS-BUG: 'of someone to express' is malformed EN; sense = to express/indicate. Thai kept.
心灵,bright; smart,"EN-GLOSS-BUG: 心灵 = soul/spirit/inner-heart, not 'bright; smart' (clever sense only in 心灵手巧); retranslated to real sense."
信,letter; mail,EN-GLOSS-BUG: English omits this sense
度,to pass; to spend,Fixed separator: was 3 semicolon senses; comma-joined the degree variants. EN-GLOSS-BUG: English omits this sense
外面,outside (; surface,EN-GLOSS-BUG: malformed gloss 'outside (; surface' (stray paren); sense = outside
香,fragrant; sweet smelling,EN-GLOSS-BUG: English omits this sense
