hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
有趣,yǒu qù,interesting; fascinating,"น่าสนใจ, น่าสนุก",35,4,"น่าสนใจ, น่าสนุก",
正确,zhèng què,correct; sound,ถูกต้อง,35,4,ถูกต้อง,
说话,shuō huà,to speak; to say,"พูด, พูดคุย",35,1,"พูด, พูดคุย",
世界,shì jiè,world,โลก,34,3,โลก,
产生,chǎn shēng,to arise; to give rise to,"เกิดขึ้น, ก่อให้เกิด",34,4,เกิดขึ้น; ก่อให้เกิด,
传统,chuán tǒng,tradition; traditional,ประเพณี; ดั้งเดิม,34,5,ประเพณี; ดั้งเดิม,
坐,zuò,to sit; to travel by (vehicle),นั่ง; โดยสาร(รถ),34,1,นั่ง; โดยสาร(รถ),
天,tiān,day; sky,วัน; ท้องฟ้า,34,1,วัน; ท้องฟ้า,
意思,yì si,idea; opinion,ความหมาย; น้ำใจ,34,2,ความหมาย; ความคิด,EN-GLOSS-BUG: 'idea; opinion' misses the primary sense 'meaning'; rendered real sense meaning; idea
看到,kàn dào,to see,"เห็น, มองเห็น",34,3,"เห็น, มองเห็น",
真,zhēn,really; truly,"จริง, จริงๆ",34,2,"จริง, จริงๆ",
丰富,fēng fù,to enrich; rich,"อุดมสมบูรณ์, มากมาย; เพิ่มพูน",33,4,"อุดมสมบูรณ์, มากมาย; เพิ่มพูน",
医生,yī shēng,doctor; medical practitioner,"หมอ, แพทย์",33,1,"หมอ, แพทย์",
只要,zhǐ yào,so long as; provided,"ขอเพียง, ตราบใดที่",33,3,"ขอเพียง, ตราบใดที่",
它们,tā men,they; them,พวกมัน (สิ่งของ/สัตว์),33,3,พวกมัน (สิ่งของ/สัตว์),
成,chéng,to become; to succeed,สำเร็จ; กลายเป็น,33,4,กลายเป็น; สำเร็จ,
植物,zhí wù,plant; vegetation,"พืช, พรรณไม้",33,4,"พืช, พรรณไม้",
瓷,cí,chinaware; porcelain,"เครื่องเคลือบ, กระเบื้องเคลือบ",33,6,"เครื่องกระเบื้อง, เครื่องเคลือบ",porcelain/chinaware; previous 2nd term meant glazed tile
男,nán,male,ชาย,33,2,ชาย,
选择,xuǎn zé,to select; to pick,เลือก; ตัวเลือก,33,3,เลือก; ตัวเลือก,
难,nán,difficult; problem,ยาก,33,3,ยาก,
一样,yī yàng,same; like,เหมือนกัน,32,3,เหมือนกัน,
交流,jiāo liú,to exchange; exchange,"แลกเปลี่ยน, สื่อสาร",32,4,"แลกเปลี่ยน, สื่อสาร",
先,xiān,beforehand; first,ก่อน,32,2,ก่อน,
冰,bīng,ice; to chill something,น้ำแข็ง,32,5,น้ำแข็ง; แช่เย็น,
感冒,gǎn mào,to catch cold; common cold,เป็นหวัด; ไข้หวัด,32,3,เป็นหวัด; ไข้หวัด,
推迟,tuī chí,to postpone; to put off,"เลื่อนออกไป, ผัดเวลา",32,4,"เลื่อนออกไป, ผัดเวลา",
段,duàn,section; paragraph,"ตอน, ช่วง, ท่อน",32,5,"ตอน, ช่วง, ท่อน",
比较,bǐ jiào,to compare; to contrast,ค่อนข้าง; เปรียบเทียบ,32,3,ค่อนข้าง; เปรียบเทียบ,EN-GLOSS-BUG: EN 'to compare; to contrast' omits the common adverbial sense 'quite/relatively' (already led in TH as ค่อนข้าง)
注意,zhù yì,to take note of; to pay attention to,"ใส่ใจ, ระวัง, สังเกต",32,3,ใส่ใจ; สังเกต,trimmed 3 distinct actions to 2; ระวัง (be careful) dropped
研究,yán jiū,research; a study,"วิจัย, ศึกษาค้นคว้า",32,4,"วิจัย, ศึกษาค้นคว้า",
穷人,qióng rén,poor people; the poor,คนจน,32,4,คนจน,
经验,jīng yàn,experience; to go through,ประสบการณ์,32,4,ประสบการณ์,
自,zì,oneself; from,ตัวเอง; จาก,32,4,ตัวเอง; จาก,
请,qǐng,to ask; to invite,"กรุณา, เชิญ",32,1,"กรุณา, เชิญ",
起来,qǐ lái,to stand up; to get up,ลุกขึ้น; ...ขึ้นมา,32,2,ลุกขึ้น; ...ขึ้นมา,
风,fēng,wind; news,ลม,32,3,ลม,
一些,yī xiē,some; a few,"บ้าง, บางส่วน, จำนวนหนึ่ง",31,1,"บ้าง, บางส่วน, จำนวนหนึ่ง",
书,shū,book,หนังสือ,31,1,หนังสือ,
人生,rén shēng,life,ชีวิต (ของคน),31,5,ชีวิต (ของคน),
便,biàn,convenient; then,"ก็, จึง; สะดวก",31,5,"ก็, จึง; สะดวก",
办,bàn,to take care of; to deal with,"ทำ, จัดการ",31,3,"ทำ, จัดการ",
压力,yā lì,pressure,"ความกดดัน, แรงกดดัน",31,4,"ความกดดัน, แรงกดดัน",
原因,yuán yīn,cause; origin,"สาเหตุ, เหตุผล",31,4,"สาเหตุ, เหตุผล",
只有,zhǐ yǒu,only have ...; there is only ...,"มีเพียง, เฉพาะ...เท่านั้น",31,3,"มีเพียง, เฉพาะ...เท่านั้น",
尊重,zūn zhòng,to esteem; to respect,"เคารพ, ให้เกียรติ",31,4,"เคารพ, ให้เกียรติ",
得到,dé dào,to get; to obtain,ได้รับ,31,4,ได้รับ,
王,wáng,king,กษัตริย์; แซ่หวัง,31,1,กษัตริย์; แซ่หวัง,
种,zhǒng,kind; type,เมล็ดพันธุ์; ชนิด; ปลูก,31,3,ชนิด; เมล็ดพันธุ์,EN-GLOSS-BUG: 'kind; type' omits the seed (zhǒng) / to-plant (zhòng) senses
