hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
解开,jiě kāi,to untie; to undo,ปลดออก,1,6,ปลดออก,
解散,jiě sàn,to dissolve; to disband,แตกแยก,1,6,ยุบ; สลายตัว,
解读,jiě dú,to decipher; to decode,อ่านแล้วเข้าใจ,1,6,ตีความ; ถอดรหัส,
解除,jiě chú,to remove; to sack,"ยกเลิก, จำหน่าย",1,6,ยกเลิก; ปลดออกจากตำแหน่ง,
触动,chù dòng,to touch; to stir up,"สัมผัส, กระทบใจ",1,6,กระทบใจ; สัมผัส,
触目惊心,chù mù jīng xīn,shocking; horrifying,น่ากลัวสำหรับจักษุ,1,6,น่าตกใจ; น่าสยดสยอง,
言辞,yán cí,words; expression,ถ้อยแถลง,1,6,ถ้อยคำ; คำพูด,
警官,jǐng guān,constable; police officer,ตำรวจ,1,5,ตำรวจ,
譬如,pì rú,for example; for instance,เช่นว่า,1,6,เช่นว่า,
认出,rèn chū,recognition; to recognize,จำได้,1,4,จำได้,
认定,rèn dìng,to maintain; to determine,"ยืนยัน, ชี้ขาดว่า",1,6,เชื่อมั่นว่า; ตัดสินว่า,
认错,rèn cuò,to admit a mistake,ยอมรับผิด,1,4,ยอมรับผิด,
训,xùn,to teach; to train,สอนการฝึก,1,6,สั่งสอน; อบรม,
讲话,jiǎng huà,a speech; to speak,การปราศรัย,1,4,พูด; ปราศรัย,
许,xǔ,many; to allow,อนุญาต,1,3,อนุญาต; มากมาย,
设施,shè shī,facilities; installation,สิ่งจัดตั้ง,1,6,สิ่งอำนวยความสะดวก,
设置,shè zhì,to set up; to install,ติดตั้ง,1,5,ติดตั้ง,
证件,zhèng jiàn,certificate,เอกสารแสดงตัวตน,1,5,เอกสารแสดงตัวตน,
证据,zhèng jù,evidence; proof,หลักฐาน,1,6,หลักฐาน,
评估,píng gū,to evaluate; to assess,ประเมินค่า,1,6,ประเมินค่า,
评论,píng lùn,to comment on; to discuss,แสดงความเห็น,1,6,แสดงความเห็น,
识字,shí zì,to learn to read; able to read,เรียนรู้การอ่านตัวอักษร,1,5,อ่านออก; รู้หนังสือ,
试用,shì yòng,to try something out; to be on probation,ใช้ทดลอง,1,4,ทดลองใช้; ทดลองงาน,
诚心诚意,chéng xīn chéng yì,earnestly and sincerely,จากใจจริง,1,5,จากใจจริง,
话筒,huà tǒng,microphone; telephone receiver,ไมโครโฟน,1,5,ไมโครโฟน; หูโทรศัพท์,
话语,huà yǔ,words; speech,ถ้อยคำ,1,6,ถ้อยคำ,
语音,yǔ yīn,speech sounds; pronunciation,เสียงพูด,1,4,เสียงพูด,
误解,wù jiě,to misunderstand; misunderstanding,ความเข้าใจผิด,1,6,เข้าใจผิด; ความเข้าใจผิด,
说不定,shuō bù dìng,can't say for sure; maybe,บางทีอาจจะ,1,5,บางทีอาจจะ,
说谎,shuō huǎng,to lie; to tell an untruth,โกหก,1,5,โกหก,
