hanzi,sentence,en,th_final
渠道,公司拓展了销售渠道。,The company expanded its sales channels.,บริษัทขยายช่องทางการขาย
渡过,他们成功渡过了难关。,They successfully got through the difficulty.,พวกเขาผ่านช่วงเวลายากลำบากมาได้สำเร็จ
温和,她说话的语气很温和。,She speaks in a gentle tone.,น้ำเสียงที่เธอพูดนุ่มนวลมาก
温柔,她说话的语气总是很温柔。,Her tone of voice is always gentle.,น้ำเสียงที่เธอพูดอ่อนโยนเสมอ
温泉,冬天泡温泉是一种享受。,Soaking in a hot spring in winter is a real treat.,การแช่น้ำพุร้อนในหน้าหนาวเป็นความสุขอย่างหนึ่ง
游人,公园里挤满了游人。,The park was crowded with tourists.,ในสวนเต็มไปด้วยนักท่องเที่ยว
游玩,我们去公园游玩。,We went to the park to have fun.,เราไปเที่ยวเล่นที่สวนสาธารณะ
游览,我们打算游览故宫。,We plan to visit the Forbidden City.,เราตั้งใจจะไปเที่ยวชมพระราชวังต้องห้าม
渺小,在宇宙中人类十分渺小。,Humans are tiny within the universe.,ในจักรวาลมนุษย์นั้นเล็กจิ๋วมาก
湖泊,这个地区有很多湖泊。,This region has many lakes.,พื้นที่แถบนี้มีทะเลสาบเยอะมาก
湿,外面下雨衣服都湿了。,It's raining outside so the clothes are all wet.,ข้างนอกฝนตกเสื้อผ้าเปียกหมดเลย
湿度,今天的湿度非常高。,Today's humidity is very high.,วันนี้ความชื้นสูงมาก
源于,这个习俗源于古代传说。,This custom originates from an ancient legend.,ธรรมเนียมนี้มีต้นกำเนิดมาจากตำนานโบราณ
溶解,糖在水中很快溶解。,Sugar dissolves quickly in water.,น้ำตาลละลายในน้ำได้เร็วมาก
滑,地面很滑，小心点。,"The ground is slippery, be careful.",พื้นลื่นมาก ระวังหน่อยนะ
滑冰,冬天孩子们喜欢滑冰。,Children like skating in winter.,หน้าหนาวเด็กๆ ชอบเล่นสเก็ตน้ำแข็ง
滔滔不绝,他讲起故事滔滔不绝。,"Once he starts telling stories, he never stops talking.",พอเขาเริ่มเล่าเรื่อง ก็พูดไม่หยุดเลย
滚,水已经滚了可以下面条。,"The water is boiling, you can put in the noodles.",น้ำเดือดแล้ว ใส่เส้นได้เลย
滚动,球从桌上滚动下来。,The ball rolled off the table.,ลูกบอลกลิ้งตกลงมาจากโต๊ะ
满怀,他满怀希望地出发了。,He set off filled with hope.,เขาออกเดินทางไปด้วยหัวใจที่เต็มไปด้วยความหวัง
滴,水龙头一直在滴水。,The faucet keeps dripping water.,ก๊อกน้ำหยดน้ำตลอดเลย
漂,树叶在水面漂着。,The leaves are floating on the water.,ใบไม้ลอยอยู่บนผิวน้ำ
漏,屋顶下雨天会漏水。,The roof leaks when it rains.,หลังคารั่วเวลาฝนตก
演习,学校举行了消防演习。,The school held a fire drill.,โรงเรียนจัดการซ้อมดับเพลิง
演奏,她将在音乐厅演奏钢琴。,She will perform on the piano at the concert hall.,เธอจะบรรเลงเปียโนที่หอแสดงดนตรี
演绎,这部电影演绎了一段爱情。,This movie portrays a love story.,หนังเรื่องนี้ถ่ายทอดเรื่องราวความรัก
演讲,他在台上认真演讲。,He gave a serious speech on stage.,เขากล่าวสุนทรพจน์อย่างตั้งใจบนเวที
漫长,这是一段漫长的旅程。,This is a long journey.,นี่เป็นการเดินทางที่ยาวนาน
潇洒,他的动作十分潇洒。,His movements are very graceful and relaxed.,ท่าทางของเขาดูเท่และมีสไตล์มาก
潜力,这个孩子很有潜力。,This child has a lot of potential.,เด็กคนนี้มีศักยภาพมาก
潜在,这个市场有很大潜在价值。,This market has great potential value.,ตลาดนี้มีมูลค่าแฝงอยู่มหาศาล
