hanzi,pinyin,english,thai_current,freq,level
实习,shí xí,to practice; field work,ฝึกงาน,1,5
实地,shí dì,on-site,ณ สถานที่จริง,1,6
实惠,shí huì,tangible benefit; material advantages,ประโยชน์ที่แท้จริง,1,6
实物,shí wù,material object; concrete object,วัตถุจริง,1,6
实话,shí huà,truth,ความจริง,1,5
实验室,shí yàn shì,laboratory,ห้องปฏิบัติการ,1,5
客机,kè jī,passenger plane,เครื่องบินโดยสาร,1,6
宣泄,xuān xiè,to drain; to unburden oneself,ระบาย,1,5
宣称,xuān chēng,to assert; to claim,อ้างว่า,1,6
害虫,hài chóng,injurious insect; pest,แมลงศัตรูพืช,1,6
家园,jiā yuán,home; homeland,บ้านเกิด,1,5
宽厚,kuān hòu,tolerant; generous,ใจกว้างเมตตา,1,4
宽敞,kuān chǎng,spacious; wide,กว้างขวาง,1,6
寂静,jì jìng,quiet,นิ่งเสียง,1,6
寄托,jì tuō,to entrust; to place in,มอบให้,1,6
密,mì,dense; secret,ลับ,1,5
密集,mì jí,concentrated; crowded together,รวมกันหนาแน่น,1,5
寓意,yù yì,moral; lesson to be learned,ข้อคิด,1,5
寓言,yù yán,fable; allegory,นิทาน,1,5
察看,chá kàn,to watch; to look carefully at,สังเกตการณ์,1,6
对外,duì wài,external; foreign,ต่างประเทศ,1,5
对应,duì yìng,to correspond,สอดคล้องกัน,1,6
对白,duì bái,dialogue,บทสนทนา,1,6
对联,duì lián,rhyming couplet,บทประพันธ์คู่,1,6
寻求,xún qiú,to seek; to look for,แสวงหา,1,6
导向,dǎo xiàng,to be oriented towards; orientation,ทิศทาง,1,6
导师,dǎo shī,tutor; teacher,ครูสอน,1,5
封闭,fēng bì,to close; to seal off,ปิด,1,6
射击,shè jī,to shoot; to fire,ยิง,1,6
将要,jiāng yào,will; shall,จะ,1,4
将近,jiāng jìn,almost; nearly,เกือบ,1,5
尊贵,zūn guì,respected; respectable,มีเกียรติ,1,6
小学,xiǎo xué,elementary school; primary school,โรงเรียนประถมศึกษา,1,2
小学生,xiǎo xué shēng,primary school student; schoolchild,นักเรียนชั้นประถมศึกษา,1,2
