orig_row,hanzi,sentence,en,th
1,阿姨,阿姨在做饭。,Auntie is cooking.,ป้ากำลังทำอาหาร
5,爱好,我的爱好是画画。,My hobby is painting.,งานอดิเรกของฉันคือวาดรูป
17,班,我们班有三十个学生。,Our class has thirty students.,ห้องเรียนของเรามีนักเรียนสามสิบคน
30,帮忙,你能帮忙吗？,Can you help?,คุณช่วยได้ไหม?
38,本词典,本词典很有用。,This dictionary is very useful.,พจนานุกรมเล่มนี้มีประโยชน์มาก
45,笔记本电脑,他有一台笔记本电脑。,He has a laptop computer.,เขามีโน้ตบุ๊กหนึ่งเครื่อง
56,别难过,别难过会好的。,"Don't be sad, it'll be okay.",อย่าเสียใจไปเลย เดี๋ยวก็ดีขึ้นเอง
59,不吃,我今天不吃早饭。,I'm not eating breakfast today.,วันนี้ฉันไม่กินข้าวเช้า
62,不好,今天天气不好。,The weather isn't good today.,วันนี้อากาศไม่ดี
84,草地上,孩子们在草地上跑。,The children are running on the lawn.,เด็กๆ วิ่งเล่นอยู่บนสนามหญ้า
101,吃饱,我已经吃饱了。,I'm already full.,ฉันอิ่มแล้ว
110,除了,"除了英语,我还会说汉语。","Besides English, I can also speak Chinese.",นอกจากภาษาอังกฤษแล้ว ฉันยังพูดภาษาจีนได้ด้วย
113,船长,船长站在船上。,The captain stands on the ship.,กัปตันยืนอยู่บนเรือ
117,词典,我有一本词典。,I have a dictionary.,ฉันมีพจนานุกรมหนึ่งเล่ม
118,词语,这个词语很难。,This word is difficult.,คำนี้ยากมาก
121,从小,他从小喜欢画画。,He has liked drawing since he was little.,เขาชอบวาดรูปมาตั้งแต่เด็ก
142,到来,我们欢迎他的到来。,We welcome his arrival.,เรายินดีต้อนรับการมาของเขา
152,等会儿,你等会儿再走。,Wait a moment before you go.,รอสักครู่ค่อยไปนะ
153,低,这张桌子很低。,This table is low.,โต๊ะตัวนี้เตี้ยมาก
155,第二天,第二天他就走了。,He left the very next day.,วันรุ่งขึ้นเขาก็ไปแล้ว
159,电视节目,这个电视节目很好看。,This TV program is very good.,รายการทีวีนี้สนุกมาก
174,锻炼,我每天锻炼一小时。,I exercise for an hour every day.,ฉันออกกำลังกายวันละหนึ่งชั่วโมง
178,多块,这本书三十多块。,This book costs more than thirty yuan.,หนังสือเล่มนี้ราคากว่าสามสิบหยวน
196,飞,小鸟飞走了。,The little bird flew away.,นกตัวน้อยบินหนีไปแล้ว
225,关,请关上窗户。,Please close the window.,ช่วยปิดหน้าต่างหน่อย
233,国外,他在国外工作。,He works abroad.,เขาทำงานอยู่ต่างประเทศ
248,好几百年,这座城市有好几百年历史。,This city has several hundred years of history.,เมืองนี้มีประวัติศาสตร์หลายร้อยปี
253,喝茶,他喜欢喝茶。,He likes to drink tea.,เขาชอบดื่มชา
