hanzi,pinyin,english,thai_current,freq,level
介绍,jiè shào,to introduce; to give a presentation,แนะนำ,11,2
位置,wèi zhì,position; place,"ตำแหน่ง, ที่ตั้ง",11,5
信任,xìn rèn,to trust; to have confidence in,"ไว้วางใจ, เชื่อใจ",11,4
全,quán,whole; entire; all,"ทั้งหมด, ครบถ้วน",11,4
养,yǎng,to raise; to bring up,เลี้ยง(สัตว์/ลูก); บำรุง,11,5
删除,shān chú,to delete; to cancel,"ลบ, ลบทิ้ง",11,5
博士,bó shì,PhD; doctor (degree),"ปริญญาเอก, ดอกเตอร์",11,4
即,jí,namely; that is,"คือ, ก็คือ; ทันที",11,4
参观,cān guān,to visit; to tour,"เยี่ยมชม, ทัศนศึกษา",11,4
合格,hé gé,to meet the standard required; qualified,"ได้มาตรฐาน, ผ่านเกณฑ์, มีคุณสมบัติ",11,4
合适,hé shì,suitable; fitting,"เหมาะสม, พอเหมาะ",11,4
同情,tóng qíng,to sympathize with; sympathy,เห็นอกเห็นใจ; ความเห็นใจ,11,4
含,hán,to keep in the mouth; to contain,"อม; มี, ประกอบด้วย",11,6
含有,hán yǒu,to contain; including,"มี(ส่วนประกอบ), ประกอบด้วย",11,5
周围,zhōu wéi,environs; surroundings,"รอบๆ, โดยรอบ",11,4
味道,wèi dào,flavor; taste,รสชาติ; กลิ่น,11,4
品牌,pǐn pái,brand; brand name,"แบรนด์, ยี่ห้อ",11,5
喂,wèi,hello,ฮัลโหล (รับโทรศัพท์); เฮ้,11,1
园,yuán,garden; park,"สวน, อุทยาน",11,6
图书馆,tú shū guǎn,library,ห้องสมุด,11,3
地址,dì zhǐ,address,ที่อยู่,11,4
地铁,dì tiě,underground railway; subway,รถไฟใต้ดิน,11,3
垃圾,lā jī,trash; refuse,ขยะ,11,4
士兵,shì bīng,soldier,"ทหาร, พลทหาร",11,5
处理,chǔ lǐ,to handle; to deal with,"จัดการ, ดำเนินการ",11,5
太空,tài kōng,outer space,อวกาศ,11,6
女性,nǚ xìng,woman; the female sex,"เพศหญิง, ผู้หญิง",11,4
孤单,gū dān,lone; lonely,"เดียวดาย, เหงา",11,4
完美,wán měi,perfect,สมบูรณ์แบบ,11,5
客人,kè rén,visitor; guest,"แขก, ผู้มาเยือน",11,3
富人,fù rén,rich person; the rich,คนรวย,11,4
差不多,chà bu duō,almost; nearly,"เกือบจะ, พอๆ กัน",11,4
幅,fú,width; (measure word for paintings and cloth),ลักษณนาม(ภาพ/ผ้า); ความกว้าง,11,5
干净,gān jìng,clean; neat,สะอาด,11,3
广播,guǎng bō,broadcast; broadcasting,"กระจายเสียง, ออกอากาศ",11,4
形状,xíng zhuàng,form; shape,"รูปร่าง, รูปทรง",11,5
心灵,xīn líng,bright; smart,"หัวไว, ฉลาด, เฉลียวฉลาด",11,6
愉快,yú kuài,cheerful; happy,"เบิกบาน, มีความสุข",11,4
懒,lǎn,lazy,ขี้เกียจ,11,4
打扫,dǎ sǎo,to clean; to sweep,"ทำความสะอาด, กวาด",11,3
打针,dǎ zhēn,to give or get an injection,ฉีดยา,11,4
报,bào,to report; to inform,รายงาน; หนังสือพิมพ์; ตอบแทน,11,4
报名,bào míng,to sign up; to enter one's name,"สมัคร, ลงชื่อ",11,4
拍,pāi,to pat; to clap,ตบ; ปรบ; ถ่าย(รูป),11,5
挂,guà,to hang; to suspend,แขวน; วาง(สาย)โทรศัพท์,11,4
擦,cā,to rub; to scratch,"เช็ด, ถู; ลบ",11,4
支撑,zhī chēng,to prop up; to support,"ค้ำยัน, รองรับ, ประคอง",11,6
散步,sàn bù,to take a walk; to go for a walk,เดินเล่น,11,4
整理,zhěng lǐ,to arrange; to tidy up,"จัดระเบียบ, จัดให้เรียบร้อย",11,4
新鲜,xīn xiān,fresh; freshness,"สด, สดใหม่",11,3
旁边,páng biān,side; adjacent place,"ข้างๆ, ด้านข้าง",11,2
普遍,pǔ biàn,universal; general,"ทั่วไป, แพร่หลาย",11,4
暖和,nuǎn huo,warm; nice and warm,อบอุ่น,11,4
更加,gèng jiā,more; even more,"ยิ่งขึ้น, มากขึ้น",11,5
本,běn,classifier for books; origin,ลักษณนาม(เล่ม สำหรับหนังสือ),11,1
样,yàng,kind; type; manner; appearance,"แบบ, ชนิด, ลักษณะ",11,5
正式,zhèng shì,formal; official,เป็นทางการ,11,4
气温,qì wēn,air temperature,อุณหภูมิอากาศ,11,4
水库,shuǐ kù,reservoir,"อ่างเก็บน้ำ, เขื่อน",11,6
汉语,hàn yǔ,Chinese language,ภาษาจีน,11,1
法律,fǎ lǜ,law,กฎหมาย,11,4
洗,xǐ,to wash; to bathe,"ล้าง, ซัก",11,2
消费,xiāo fèi,to consume,"บริโภค, ใช้จ่าย",11,5
激素,jī sù,hormone,ฮอร์โมน,11,6
爬山,pá shān,to go for a hike,"ปีนเขา, เดินเขา",11,3
猫,māo,cat,แมว,11,1
理论,lǐ lùn,theory; to argue,ทฤษฎี,11,5
生物,shēng wù,organism; living creature,สิ่งมีชีวิต; ชีววิทยา,11,5
电话,diàn huà,telephone; phone call,โทรศัพท์,11,1
疾病,jí bìng,disease; sickness,"โรคภัย, ความเจ็บป่วย",11,5
瘦,shòu,thin; to lose weight,ผอม; ลดน้ำหนัก,11,3
白领,bái lǐng,white-collar; white-collar worker,"พนักงานออฟฟิศ, มนุษย์เงินเดือน (คอปกขาว)",11,6
皮肤,pí fū,skin,ผิวหนัง,11,4
相似,xiāng sì,similar; alike,"คล้ายคลึง, คล้ายกัน",11,5
相反,xiāng fǎn,opposite; contrary,ตรงกันข้าม,11,4
稳定,wěn dìng,steady; stable,"มั่นคง, เสถียร",11,5
终于,zhōng yú,at last; in the end,ในที่สุด,11,3
翻译,fān yì,to translate; to interpret,"แปล; การแปล, ล่าม",11,4
自身,zì shēn,itself; oneself,"ตัวเอง, ตนเอง",11,5
药,yào,medicine; drug,ยา,11,2
菜,cài,vegetable; greens,"กับข้าว, อาหาร; ผัก",11,1
行,xíng,to walk; to go,"เดิน, ไป",11,4
表面,biǎo miàn,surface; face,"พื้นผิว, ผิวหน้า",11,5
装,zhuāng,to load; to pretend,ติดตั้ง; บรรจุ; แกล้งทำ; เสื้อผ้า,11,5
西红柿,xī hóng shì,tomato,มะเขือเทศ,11,4
观察,guān chá,to observe; to watch,"สังเกต, สังเกตการณ์",11,5
解释,jiě shì,explanation; to explain,อธิบาย; คำอธิบาย,11,4
讲究,jiǎng jiū,particular about; tasteful,"พิถีพิถัน, ใส่ใจ(คุณภาพ)",11,5
证明,zhèng míng,proof; certificate,"พิสูจน์; หลักฐาน, ใบรับรอง",11,4
词典,cí diǎn,dictionary,พจนานุกรม,11,3
语法,yǔ fǎ,grammar,ไวยากรณ์,11,4
赚,zhuàn,to earn; to make a profit,"หาเงิน, ทำกำไร",11,4
转动,zhuǎn dòng,to turn something around; to swivel,"หมุน, หมุนรอบ",11,6
连续,lián xù,continuous; in a row,"ต่อเนื่อง, ติดต่อกัน",11,6
通知,tōng zhī,to notify; to inform,"แจ้ง, แจ้งให้ทราบ; ประกาศ",11,4
酒,jiǔ,wine; liquor,"เหล้า, สุรา",11,3
重新,chóng xīn,again; once more,"ใหม่อีกครั้ง, ใหม่",11,4
错,cuò,wrong; mistake,ผิด; ความผิดพลาด,11,2
锻炼,duàn liàn,to toughen; to temper,ออกกำลังกาย; ฝึกฝน,11,3
长城,cháng chéng,the Great Wall,กำแพงเมืองจีน,11,4
随着,suí zhe,along with; in the wake of,"ตามที่, ไปพร้อมกับ",11,4
需求,xū qiú,requirement; to require,"ความต้องการ, อุปสงค์",11,5
风格,fēng gé,style,"สไตล์, ลีลา",11,5
鲨鱼,shā yú,shark,ปลาฉลาม,11,5
一共,yī gòng,in total; altogether,"ทั้งหมด, รวมทั้งสิ้น",10,3
一部分,yī bù fèn,portion; part of,ส่วนหนึ่ง,10,4
个人,gè rén,an individual,"ส่วนบุคคล, ส่วนตัว; ปัจเจกบุคคล",10,4
也许,yě xǔ,perhaps; maybe,"บางที, อาจจะ",10,4
享受,xiǎng shòu,to enjoy; to live it up,"เพลิดเพลิน, เสพสุข; ความเพลิดเพลิน",10,5
仍,réng,still; yet,ยังคง,10,4
仍然,réng rán,still; as before,ยังคง,10,4
代表,dài biǎo,representative; delegate,ตัวแทน; เป็นตัวแทน,10,4
以及,yǐ jí,and; as well as,"ตลอดจน, รวมทั้ง",10,5
似乎,sì hū,it seems; seemingly,"ดูเหมือนว่า, ราวกับ",10,5
作业,zuò yè,school assignment; homework,การบ้าน,10,3
供,gōng,to provide; to supply,"จัดหา, จัดส่ง, ป้อน",10,4
信,xìn,letter; mail,จดหมาย; เชื่อ,10,3
信息,xìn xī,information; news,"ข้อมูล, ข่าวสาร",10,4
儿童,ér tóng,child,เด็ก,10,4
充满,chōng mǎn,full of; brimming with,"เต็มไปด้วย, เปี่ยมด้วย",10,5
冬天,dōng tiān,winter,ฤดูหนาว,10,3
创作,chuàng zuò,to create; to produce,"สร้างสรรค์(ผลงาน), ประพันธ์",10,5
北方,běi fāng,north; the northern part a country,"ภาคเหนือ, ทางเหนือ",10,3
区别,qū bié,difference; to distinguish,ความแตกต่าง; แยกแยะ,10,4
南方,nán fāng,south; southern direction,"ภาคใต้, ทางใต้",10,3
占,zhàn,to occupy; to constitute,"ครอบครอง, ยึด; (zhān) ทำนาย",10,4
厉害,lì hài,awesome; formidable; severe,"เก่ง, ร้ายกาจ, สุดยอด",10,4
发出,fā chū,to issue; to send out,"ส่งออก, เปล่ง(เสียง/แสง), ออก(คำสั่ง)",10,4
叔叔,shū shū,father's younger brother; paternal uncle,"อา(ชาย), ลุง; น้าชาย",10,3
受伤,shòu shāng,to sustain injuries; wounded,"บาดเจ็บ, ได้รับบาดเจ็บ",10,5
回到,huí dào,to return to,"กลับไปยัง, กลับสู่",10,4
因素,yīn sù,element; factor,"ปัจจัย, องค์ประกอบ",10,6
地面,dì miàn,floor; ground,"พื้น, พื้นดิน",10,5
基本,jī běn,basic; fundamental,"พื้นฐาน, โดยพื้นฐาน",10,5
夏季,xià jì,summer,ฤดูร้อน,10,3
大夫,dài fu,doctor,หมอ; แพทย์,10,4
大都,dà dū,mostly; for the most part,"ส่วนใหญ่, โดยมาก",10,6
失去,shī qù,to lose,"สูญเสีย, เสีย",10,5
女人,nǚ rén,woman,ผู้หญิง; ภรรยา,10,4
姓,xìng,family name; surname,"แซ่, นามสกุล; มีแซ่ว่า",10,2
左边,zuǒ biān,left; the left side,ด้านซ้าย,10,2
帅,shuài,handsome,หล่อ; สง่างาม,10,4
帮忙,bāng máng,to help; to lend a hand,ช่วยเหลือ,10,3
广泛,guǎng fàn,wide; broad,"กว้างขวาง, แพร่หลาย",10,5
应用,yìng yòng,to put to use; to apply,"ประยุกต์ใช้, นำไปใช้; แอปพลิเคชัน",10,5
度,dù,to pass; to spend,ใช้(เวลา); องศา; ระดับ,10,4
建,jiàn,to establish; to found,"สร้าง, ก่อตั้ง",10,6
开会,kāi huì,to hold a meeting; to attend a meeting,"ประชุม, เข้าประชุม",10,3
弓,gōng,bow (weapon),"ธนู, คันศร; โก่ง",10,5
当地,dāng dì,local,"ท้องถิ่น, ในพื้นที่",10,4
当然,dāng rán,only natural; as it should be,"แน่นอน, เป็นธรรมดา",10,3
形式,xíng shì,outer appearance; form,รูปแบบ,10,5
律师,lǜ shī,lawyer,ทนายความ,10,4
患者,huàn zhě,patient; sufferer,ผู้ป่วย,10,5
意识,yì shí,consciousness; awareness,"จิตสำนึก, ความตระหนัก",10,5
感受,gǎn shòu,to sense; perception,"รู้สึก, สัมผัส; ความรู้สึก",10,5
愿意,yuàn yì,to wish; to want,"ยินดี, เต็มใจ, อยาก",10,3
房子,fáng zi,house; building,บ้าน,10,2
打印,dǎ yìn,to print,"พิมพ์(ออกมา), ปริ๊นต์",10,4
打电话,dǎ diàn huà,to make a telephone call,โทรศัพท์,10,3
打破,dǎ pò,to break; to smash,"ทุบแตก, ทำลาย(สถิติ)",10,4
护照,hù zhào,passport,"หนังสือเดินทาง, พาสปอร์ต",10,3
掉,diào,to fall; to drop,"ตก, หล่น; หลุด",10,4
控制,kòng zhì,to control,ควบคุม,10,5
搬,bān,to move; to shift,ย้าย; ยก(ของหนัก),10,3
文字,wén zì,character; script,"ตัวอักษร, ตัวหนังสือ",10,5
文章,wén zhāng,article; essay,"บทความ, เรียงความ",10,4
日,rì,day; sun,วัน; ดวงอาทิตย์,10,1
早,zǎo,early; morning,เช้า; เร็ว,10,2
明白,míng bái,clear; obvious,เข้าใจ; ชัดเจน,10,3
昨天,zuó tiān,yesterday,เมื่อวาน,10,1
显示,xiǎn shì,to show; to illustrate,"แสดง, บ่งชี้",10,5
普通,pǔ tōng,common; ordinary,"ธรรมดา, ทั่วไป",10,3
曲,qū,bent; crooked; curved,"โค้ง, งอ",10,6
有时,yǒu shí,sometimes; now and then,บางครั้ง,10,3
本身,běn shēn,itself; in itself,"ตัวมันเอง, โดยตัวของมันเอง",10,6
来得及,lái de jí,to have enough time,"ทัน, ยังทันเวลา",10,4
校长,xiào zhǎng,"college, university president; headmaster","ครูใหญ่, อธิการบดี",10,3
样子,yàng zi,appearance; manner,"ลักษณะ, ท่าทาง, รูปลักษณ์",10,4
欣赏,xīn shǎng,to appreciate; to enjoy,"ชื่นชม, เพลิดเพลินกับ",10,5
死,sǐ,to die; impassable,ตาย,10,4
比如,bǐ rú,for example; for instance,"เช่น, ตัวอย่างเช่น",10,4
海边,hǎi biān,coast; seaside,ชายทะเล,10,4
消失,xiāo shī,to disappear; to fade away,"หายไป, เลือนหาย",10,5
消息,xiāo xī,piece of news; information,"ข่าว, ข่าวสาร",10,4
游,yóu,to swim; to travel,ว่ายน้ำ; ท่องเที่ยว,10,2
湿润,shī rùn,moist,ชุ่มชื้น,10,4
物质,wù zhì,matter; substance,"สสาร, วัตถุ",10,5
球,qiú,ball,ลูกบอล,10,2
生意,shēng yì,business; trade,"ธุรกิจ, การค้า",10,4
男人,nán rén,a man; a male,ผู้ชาย,10,4
盒饭,hé fàn,meal in a partitioned box,ข้าวกล่อง,10,5
目的,mù dì,purpose; aim,"จุดประสงค์, เป้าหมาย",10,4
睡,shuì,to sleep; to lie down,"นอน, หลับ",10,2
睡觉,shuì jiào,to go to bed; to sleep,"นอน, นอนหลับ",10,1
礼物,lǐ wù,gift; present,ของขวัญ,10,3
神奇,shén qí,magical; mystical,"มหัศจรรย์, น่าอัศจรรย์",10,5
禁止,jìn zhǐ,to prohibit; to forbid,ห้าม,10,4
秘密,mì mì,secret; private,ความลับ,10,5
肚子,dǔ zi,belly; abdomen,"ท้อง, พุง",10,4
