orig_row,hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
3,人家,rén jiā,household; dwelling,ครัวเรือน; คนอื่น,5,5,ครัวเรือน; คนอื่น,EN-GLOSS-BUG: 人家's most common sense 'other people / one (colloquial pronoun)' is missing from EN 'household; dwelling'; kept คนอื่น to reflect real usage
7,伙伴,huǒ bàn,companion; pal,"พันธมิตร, สหายสนิท",5,5,"เพื่อน, คู่หู",พันธมิตร (ally) is wrong register for companion/pal
19,偶然,ǒu rán,incidentally; occasional,"บังเอิญ, เป็นครั้งคราว",5,5,บังเอิญ; เป็นครั้งคราว,
25,农作物,nóng zuò wù,farm crops,พืชการเกษตร,5,6,พืชผลทางการเกษตร,
31,分别,fēn bié,to part; to leave each other,"แตกต่าง, ลาจาก",5,5,"ลาจาก, จากลา",EN-GLOSS-BUG: EN 'to part' omits 分别's common senses 'separately/respectively' and 'to distinguish'
33,制定,zhì dìng,to draw up; to formulate,"กำหนด, ร่าง (แผน/กฎ)",5,5,"กำหนด, ร่าง (แผน/กฎ)",
35,功效,gōng xiào,efficacy,"ประสิทธิ์, ผลประโยชน์",5,6,"สรรพคุณ, ประสิทธิผล",thai_current ประสิทธิ์ is not a complete Thai word; 功效 = efficacy (esp. of medicine) = สรรพคุณ
42,原,yuán,original; former,"เดิม, ดั้งเดิม",5,4,"เดิม, ดั้งเดิม",
60,困境,kùn jìng,predicament; plight,"สถานการณ์ลำบาก, ภาวะคับขัน",5,4,"สถานการณ์ลำบาก, ภาวะคับขัน",
63,增,zēng,to increase,"เพิ่มขึ้น, ขยาย",5,6,"เพิ่มขึ้น, ขยาย",
66,外出,wài chū,to go out; to go away,"ออกนอก, เดินทาง",5,6,"ออกไปข้างนอก, เดินทางออกไป",
74,大米,dà mǐ,husked rice,ข้าว,5,2,ข้าวสาร,
88,威胁,wēi xié,to threaten; to menace,"คุกคาม, ข่มขู่",5,5,"คุกคาม, ข่มขู่",
114,强烈,qiáng liè,strong; intense,"รุนแรง, แรง",5,5,"รุนแรง, แรง",
117,形象,xíng xiàng,image; form,"ภาพลักษณ์, รูปแบบ",5,5,"ภาพลักษณ์, รูปลักษณ์",
121,思想,sī xiǎng,thought; thinking,"ความคิด, แนวคิด",5,5,"ความคิด, แนวคิด",
122,恐惧,kǒng jù,to be frightened; fear,"กลัว, สยอง",5,6,"กลัว, หวาดกลัว",
132,打发,dǎ fā,to send away; to dismiss,"ส่งตัว, บังคับออก",5,6,"ไล่ไป, ส่งให้ไปทำธุระ",EN-GLOSS-BUG: EN omits very common 打发时间 = 'to pass/kill time' (ฆ่าเวลา); thai_current ส่งตัว/บังคับออก mis-rendered the sense
136,抑制,yì zhì,to inhibit; to keep down,"กดดัน, ยับยั้ง",5,6,"ยับยั้ง, ระงับ",กดดัน (to pressure) is the wrong sense for inhibit/suppress
149,故,gù,happening; instance,"เหตุการณ์, ความ",5,5,"สาเหตุ, เหตุ",EN-GLOSS-BUG: EN 'happening; instance' does not match 故 (reason/cause 缘故; therefore; former/old; deliberately)
151,教训,jiào xùn,to provide guidance; a talking-to,"บทเรียน, ข้อเตือน",5,5,บทเรียน; ดุด่าสั่งสอน,EN-GLOSS-BUG: 教训 is usually negative (to teach a harsh lesson / scold); EN 'to provide guidance' softens it
153,文明,wén míng,civilized; civilization,"วัฒนธรรม, อารยะ",5,5,"อารยธรรม, มีอารยะ",วัฒนธรรม = culture; 文明 = civilization/civilized
161,最初,zuì chū,first; primary,"เริ่มแรก, ตอนแรก",5,6,"เริ่มแรก, ตอนแรก",
164,有意思,yǒu yì si,interesting; meaningful,น่าสนใจ,5,2,น่าสนใจ,
168,期间,qī jiān,period of time; time,"ช่วงเวลา, ระหว่าง",5,5,"ช่วงเวลา, ระหว่าง",
171,杯,bēi,cup; trophy cup,ลักษณนาม(แก้ว/ถ้วย),5,2,แก้ว; ถ้วยรางวัล,thai_current gave only the classifier; EN 'cup; trophy cup' are the noun senses
180,水源,shuǐ yuán,water source; water supply,"แหล่งน้ำ, น้ำบาดาล",5,5,"แหล่งน้ำ, ต้นน้ำ","น้ำบาดาล = groundwater, too specific"
185,没什么,méi shén me,it doesn't matter; think nothing of it,"ไม่มีอะไร, ไม่เป็นไร",5,3,"ไม่มีอะไร, ไม่เป็นไร",
187,洞,dòng,cave; hole,"ถ้ำ, หลุม",5,5,ถ้ำ; รู,
188,派,pài,group; to send,"สถาบัน, นิกาย",5,5,ฝ่าย(กลุ่ม); ส่งไป,thai_current สถาบัน/นิกาย missed the 'to send/dispatch' sense (ส่ง)
