shard,hanzi,th_current,th_fixed,reason
rw-3,门票,ตั๋วเข้าราคาเท่าไหร่,ตั๋วเข้าราคาเท่าไหร่?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-3,哪些,คุณชอบผลไม้ชนิดไหนบ้าง,คุณชอบผลไม้ชนิดไหนบ้าง?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-3,那么,ทำไมอากาศถึงหนาวขนาดนั้น,ทำไมอากาศถึงหนาวขนาดนั้น?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-3,你家,บ้านคุณอยู่ที่ไหน,บ้านคุณอยู่ที่ไหน?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-3,您好,สวัสดี ขอถามหน่อยไปทางไหน,สวัสดี ขอถามหน่อยไปทางไหน?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-3,请问,ขอถามหน่อยห้องน้ำอยู่ที่ไหน,ขอถามหน่อยห้องน้ำอยู่ที่ไหน?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-3,起飞,เครื่องบินกำลังจะออกเดินทางแล้ว,เครื่องบินกำลังจะขึ้นบินแล้ว,起飞='take off'; ออกเดินทาง='ออกเดินทาง/depart' ทำให้คำเป้าหมายหายไป — ขึ้นบิน คือ take off
rw-4,什么样,คุณอยากได้โทรศัพท์แบบไหน,คุณอยากได้โทรศัพท์แบบไหน?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-4,是不是,คุณเป็นนักเรียนใช่ไหม,คุณเป็นนักเรียนใช่ไหม?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-4,为什么,ทำไมคุณถึงไม่มีความสุข,ทำไมคุณถึงไม่มีความสุข?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-4,洗手间,ห้องน้ำอยู่ที่ไหน,ห้องน้ำอยู่ที่ไหน?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-4,太好了,เยี่ยมเลย เราชนะแล้ว,เยี่ยมเลย เราชนะแล้ว!,แหล่งที่มาเป็นประโยคอุทาน (！) — สไตล์ไกด์ให้คง ! ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
