key,english,thai_current
home.smart,Smart Review,ทบทวนอัจฉริยะ
home.flashcards,Flashcards,บัตรคำ
home.tones,Tone Trainer,ฝึกวรรณยุกต์
home.tonesDisabledHint,Needs sound,ต้องเปิดเสียง
home.shop,Shop,ร้านค้า
home.best,Best Sessions,สถิติดีที่สุด
home.progress,Progress,ความคืบหน้า
home.howto,How to play,วิธีเล่น
home.sound,Sound effects,เสียงประกอบ
home.settings,Settings,ตั้งค่า
home.streakTitle,Study Streak,เรียนต่อเนื่อง
home.streakDays,{n} days,{n} วัน
home.freezes,{n} freezes,น้ำแข็ง {n} ชิ้น
home.freeze-one,1 freeze,น้ำแข็ง 1 ชิ้น
home.start,START,เริ่ม
home.startReview,REVIEW {n} DUE WORDS,ทบทวนคำที่ถึงกำหนด {n} คำ
home.startHint,Need at least 8 words in scope to start — widen it below.,ต้องมีคำอย่างน้อย 8 คำในขอบเขตจึงจะเริ่มได้ — ขยายขอบเขตด้านล่าง
home.scopeWords,{n} words,{n} คำ
home.levelChip,Lv {lv},Lv {lv}
common.playAudio,Play audio,เล่นเสียง
common.close,Close,ปิด
results.introHint,Great first session! Come back tomorrow to start your streak 🍵,ครั้งแรกเยี่ยมมาก! กลับมาพรุ่งนี้เพื่อเริ่มสตรีคของคุณ 🍵
nav.home,Home,หน้าหลัก
nav.street,Street,ถนน
nav.progress,Profile,โปรไฟล์
nav.more,More,เพิ่มเติม
results.roundOver,Word Quest complete,จบภารกิจคำศัพท์
results.routeLabel,Village Gate journey,เส้นทางประตูหมู่บ้าน
results.chapter,Chapter {n},บทที่ {n}
results.learnedTarget,{learned} / {target} words learned,เรียนรู้แล้ว {learned} / {target} คำ
results.attempts,Attempts,ครั้งที่ตอบ
results.accuracy,Accuracy,ความแม่นยำ
results.lanterns,Lanterns,โคมไฟ
results.rewardTitle,Lucky rewards,รางวัลนำโชค
results.nextReviewPractice,Next: revisit your extra-practice words,ต่อไป: ทบทวนคำที่ต้องฝึกเพิ่ม
results.nextReviewTomorrow,Your Lantern Trail continues tomorrow,เส้นทางโคมไฟของคุณดำเนินต่อพรุ่งนี้
results.lanternAlt,Lit lantern,โคมไฟที่จุดแล้ว
results.missed,Needed extra practice,คำที่ต้องฝึกเพิ่ม
results.reviewWords,Review Words,ทบทวนคำ
results.practiceMissed,Practice these words again,ฝึกคำเหล่านี้อีกครั้ง
results.playAgain,Play again,เล่นอีกครั้ง
results.home,Home,หน้าหลัก
results.banked,+{score} coins banked · total {total},+{score} เหรียญ · รวม {total}
results.perfect,Perfect Word Quest! +{bonus} coin bonus,ภารกิจคำศัพท์สมบูรณ์แบบ! โบนัส +{bonus} เหรียญ
results.levelUp,Level up! Lv {lv},เลื่อนระดับ! Lv {lv}
results.levelUpUnlocked,Level up! Lv {lv} — unlocked: {items},เลื่อนระดับ! Lv {lv} — ปลดล็อก: {items}
results.sub,{acc}% accuracy · {words} words · {key},แม่นยำ {acc}% · {words} คำ · {key}
results.bestTag,Best session!,สถิติใหม่!
results.bestPrev,best {prev},ดีที่สุด {prev}
results.questComplete,Quest complete: {desc} +{reward} coins,เควสต์สำเร็จ: {desc} +{reward} เหรียญ
results.projectTitle,Next street build,สิ่งที่จะสร้างบนถนนต่อไป
results.projectProgress,+{earned} this quest · {remaining} coins to go,+{earned} จากภารกิจนี้ · เหลืออีก {remaining} เหรียญ
results.projectNoGain,{remaining} coins to go,เหลืออีก {remaining} เหรียญ
results.projectReadyEarned,+{earned} this quest · ready to build!,+{earned} จากภารกิจนี้ · พร้อมสร้างแล้ว!
results.projectReady,Ready to build!,พร้อมสร้างแล้ว!
results.viewProject,View project,ดูโปรเจกต์
results.buildNow,Build now,สร้างเลย
common.backProfile,← Profile,← โปรไฟล์
results.newSticker,New sticker: {name},สติกเกอร์ใหม่: {name}
common.back,← Home,← หน้าหลัก
common.backMore,← More,← เพิ่มเติม
common.backStreet,← Street,← ถนน
common.cancel,Cancel,ยกเลิก
common.done,Done,เสร็จ
common.language,Language,ภาษา
